1, -0.96, 4.11, -1.91, -4.36, 4.61, 0.22, -2.24, 0
2, -3.19, -0.35, 1.1, 0.22, -2.24, -3.36, 3.01, 0
3, -0.96, 4.11, -1.91, -4.36, 4.61, 0.22, -2.24, 0
4, -3.19, -0.35, 1.1, 0.22, -2.24, -3.36, 3.01, 0
5, -0.96, 4.11, -1.91, -4.36, 4.61, 0.22, -2.24, 1
6, -3.19, -0.35, 1.1, 0.22, -2.24, -3.36, 3.01, 1
7, -0.96, 4.11, -1.91, -4.36, 4.61, 0.22, -2.24, 1
8, -3.19, -0.35, 1.1, 0.22, -2.24, -3.36, 3.01, 1
9, -1.28, 3.26, -1.91, -4.36, 4.61, 0.22, -2.24, 0
10, -3.56, -0.88, 1.1, 0.22, -2.24, -3.36, 3.01, 0
11, -1.28, 3.26, -1.91, -4.36, 4.61, 0.22, -2.24, 1
12, -3.56, -0.88, 1.1, 0.22, -2.24, -3.36, 3.01, 1
