0.000, -3.680, 0.210, 0.300, -4.360, 4.610, 0.220, -2.240, 0.000
1.000, -0.560, 2.170, -2.800, -4.360, 4.610, 0.220, -2.240, 0.000
2.000, -3.162, 0.536, 0.300, 0.220, -2.240, -4.360, 4.610, 0.000
3.000, -1.078, 1.844, -2.800, -4.360, 4.610, 0.220, -2.240, 1.000
4.000, -3.810, 0.129, 0.300, 0.220, -2.240, -4.360, 4.610, 1.000
5.000, -0.300, 2.332, -2.800, -4.360, 4.610, 0.220, -2.240, 0.000
6.000, -4.522, -0.319, 0.300, 0.220, -2.240, -4.360, 4.610, 0.000
7.000, -0.430, 2.251, -2.800, -4.360, 4.610, 0.220, -2.240, 0.000
8.000, -3.550, 0.291, 0.300, 0.220, -2.240, -4.360, 4.610, 1.000
9.000, 0.412, 2.780, -2.800, -4.360, 4.610, 0.220, -2.240, 1.000
10.000, -3.680, 0.210, 0.300, 0.220, -2.240, -4.360, 4.610, 1.000
11.000, -1.078, 1.844, -2.800, -4.360, 4.610, 0.220, -2.240, 1.000
12.000, -3.810, 0.129, 0.300, 0.220, -2.240, -4.360, 4.610, 0.000
13.000, -0.430, 2.251, -2.800, -4.360, 4.610, 0.220, -2.240, 1.000
14.000, -3.550, 0.291, 0.300, 0.220, -2.240, -4.360, 4.610, 0.000
15.000, -0.300, 2.332, -2.800, -4.360, 4.610, 0.220, -2.240, 1.000
16.000, -4.522, -0.319, 0.300, 0.220, -2.240, -4.360, 4.610, 0.000
17.000, 0.412, 2.780, -2.800, -4.360, 4.610, 0.220, -2.240, 1.000
18.000, -3.162, 0.536, 0.300, 0.220, -2.240, -4.360, 4.610, 0.000
19.000, -0.560, 2.170, -2.800, -4.360, 4.610, 0.220, -2.240, 1.000
20.000, -3.680, 0.210, 0.300, 0.220, -2.240, -4.360, 4.610, 0.000
